take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0019,1,transfer_start,504,1934.466000000,2026-08-31T12:47:42+01:00
trial_0019,1,transfer_end,609,1935.516000000,2026-08-31T12:47:49+01:00
trial_0019,1,withdrawal_start,677,1936.196000000,2026-08-31T12:47:53+01:00
trial_0019,1,withdrawal_end,767,1937.095000000,2026-08-31T12:47:55+01:00
trial_0019,2,transfer_start,1656,1945.985000000,2026-08-31T12:48:11+01:00
trial_0019,2,transfer_end,1779,1947.215000000,2026-08-31T12:48:15+01:00
trial_0019,2,withdrawal_start,1840,1947.825000000,2026-08-31T12:48:20+01:00
trial_0019,2,withdrawal_end,1941,1948.835000000,2026-08-31T12:48:30+01:00
trial_0019,3,transfer_start,2769,1957.114000000,2026-08-31T12:48:47+01:00
trial_0019,3,transfer_end,2883,1958.254000000,2026-08-31T12:48:56+01:00
trial_0019,3,withdrawal_start,2939,1958.814000000,2026-08-31T12:48:59+01:00
trial_0019,3,withdrawal_end,3031,1959.734000000,2026-08-31T12:49:00+01:00
trial_0019,4,transfer_start,3845,1967.873000000,2026-08-31T12:49:29+01:00
trial_0019,4,transfer_end,3957,1968.993000000,2026-08-31T12:49:36+01:00
trial_0019,4,withdrawal_start,4016,1969.583000000,2026-08-31T12:49:49+01:00
trial_0019,4,withdrawal_end,4105,1970.473000000,2026-08-31T12:49:51+01:00
trial_0019,5,transfer_start,4913,1978.553000000,2026-08-31T12:50:28+01:00
trial_0019,5,transfer_end,5040,1979.822000000,2026-08-31T12:50:35+01:00
trial_0019,5,withdrawal_start,5080,1980.222000000,2026-08-31T12:50:45+01:00
trial_0019,5,withdrawal_end,5235,1981.772000000,2026-08-31T12:50:48+01:00
trial_0019,6,transfer_start,5998,1989.402000000,2026-08-31T12:51:05+01:00
trial_0019,6,transfer_end,6107,1990.492000000,2026-08-31T12:51:15+01:00
trial_0019,6,withdrawal_start,6167,1991.092000000,2026-08-31T12:51:18+01:00
trial_0019,6,withdrawal_end,6282,1992.242000000,2026-08-31T12:51:21+01:00
trial_0019,7,transfer_start,6916,1998.581000000,2026-08-31T12:51:32+01:00
trial_0019,7,transfer_end,7034,1999.761000000,2026-08-31T12:51:38+01:00
trial_0019,7,withdrawal_start,7087,2000.291000000,2026-08-31T12:51:48+01:00
trial_0019,7,withdrawal_end,7194,2001.361000000,2026-08-31T12:51:51+01:00
trial_0019,8,transfer_start,8443,2013.850000000,2026-08-31T12:52:09+01:00
trial_0019,8,transfer_end,8578,2015.200000000,2026-08-31T12:52:13+01:00
trial_0019,8,withdrawal_start,8605,2015.470000000,2026-08-31T12:52:22+01:00
trial_0019,8,withdrawal_end,8717,2016.590000000,2026-08-31T12:52:24+01:00
trial_0019,9,transfer_start,9704,2026.459000000,2026-08-31T12:52:41+01:00
trial_0019,9,transfer_end,9836,2027.779000000,2026-08-31T12:52:46+01:00
trial_0019,9,withdrawal_start,9888,2028.299000000,2026-08-31T12:52:50+01:00
trial_0019,9,withdrawal_end,9995,2029.369000000,2026-08-31T12:52:53+01:00
trial_0019,10,transfer_start,11936,2048.778000000,2026-08-31T12:53:22+01:00
trial_0019,10,transfer_end,12072,2050.137000000,2026-08-31T12:53:25+01:00
trial_0019,10,withdrawal_start,12115,2050.567000000,2026-08-31T12:53:32+01:00
trial_0019,10,withdrawal_end,12213,2051.547000000,2026-08-31T12:53:35+01:00
trial_0019,11,transfer_start,13153,2060.947000000,2026-08-31T12:53:51+01:00
trial_0019,11,transfer_end,13350,2062.917000000,2026-08-31T12:53:56+01:00
trial_0019,11,withdrawal_start,13357,2062.987000000,2026-08-31T12:54:12+01:00
trial_0019,11,withdrawal_end,13460,2064.016000000,2026-08-31T12:54:14+01:00
trial_0019,12,transfer_start,14161,2071.026000000,2026-08-31T12:54:26+01:00
trial_0019,12,transfer_end,14276,2072.176000000,2026-08-31T12:54:30+01:00
trial_0019,12,withdrawal_start,14329,2072.706000000,2026-08-31T12:54:34+01:00
trial_0019,12,withdrawal_end,14441,2073.826000000,2026-08-31T12:54:36+01:00
trial_0019,13,transfer_start,15758,2086.995000000,2026-08-31T12:54:52+01:00
trial_0019,13,transfer_end,15897,2088.385000000,2026-08-31T12:54:55+01:00
trial_0019,13,withdrawal_start,15945,2088.865000000,2026-08-31T12:55:03+01:00
trial_0019,13,withdrawal_end,16057,2089.985000000,2026-08-31T12:55:05+01:00
trial_0019,14,transfer_start,17682,2106.233000000,2026-08-31T12:55:21+01:00
trial_0019,14,transfer_end,17859,2108.003000000,2026-08-31T12:55:24+01:00
trial_0019,14,withdrawal_start,17896,2108.373000000,2026-08-31T12:55:27+01:00
trial_0019,14,withdrawal_end,18010,2109.513000000,2026-08-31T12:55:29+01:00
trial_0019,15,transfer_start,19121,2120.622000000,2026-08-31T12:55:39+01:00
trial_0019,15,transfer_end,19250,2121.912000000,2026-08-31T12:55:42+01:00
trial_0019,15,withdrawal_start,19286,2122.272000000,2026-08-31T12:55:45+01:00
trial_0019,15,withdrawal_end,19391,2123.322000000,2026-08-31T12:55:47+01:00
trial_0019,16,transfer_start,20481,2134.221000000,2026-08-31T12:56:05+01:00
trial_0019,16,transfer_end,20631,2135.721000000,2026-08-31T12:56:08+01:00
trial_0019,16,withdrawal_start,20676,2136.171000000,2026-08-31T12:56:11+01:00
trial_0019,16,withdrawal_end,20774,2137.151000000,2026-08-31T12:56:13+01:00
trial_0019,17,transfer_start,21897,2148.380000000,2026-08-31T12:56:36+01:00
trial_0019,17,transfer_end,22031,2149.720000000,2026-08-31T12:56:54+01:00
trial_0019,17,withdrawal_start,22059,2150.000000000,2026-08-31T12:57:04+01:00
trial_0019,17,withdrawal_end,22164,2151.050000000,2026-08-31T12:57:06+01:00
trial_0019,18,transfer_start,23152,2160.930000000,2026-08-31T12:57:39+01:00
trial_0019,18,transfer_end,23284,2162.250000000,2026-08-31T12:57:44+01:00
