take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0013,1,transfer_start,868,6359.823000000,2026-08-31T10:58:57+01:00
trial_0013,1,transfer_end,991,6361.053000000,2026-08-31T10:59:06+01:00
trial_0013,1,withdrawal_start,1164,6362.783000000,2026-08-31T10:59:34+01:00
trial_0013,1,withdrawal_end,1248,6363.623000000,2026-08-31T10:59:51+01:00
trial_0013,2,transfer_start,3788,6389.022000000,2026-08-31T11:01:03+01:00
trial_0013,2,transfer_end,3918,6390.321000000,2026-08-31T11:01:19+01:00
trial_0013,2,withdrawal_start,4222,6393.361000000,2026-08-31T11:01:32+01:00
trial_0013,2,withdrawal_end,4337,6394.511000000,2026-08-31T11:01:40+01:00
trial_0013,3,transfer_start,6003,6411.170000000,2026-08-31T11:02:01+01:00
trial_0013,3,transfer_end,6166,6412.800000000,2026-08-31T11:02:17+01:00
trial_0013,3,withdrawal_start,6324,6414.380000000,2026-08-31T11:02:29+01:00
trial_0013,3,withdrawal_end,6417,6415.310000000,2026-08-31T11:02:36+01:00
trial_0013,4,transfer_start,9184,6442.978000000,2026-08-31T11:03:06+01:00
trial_0013,4,transfer_end,9335,6444.488000000,2026-08-31T11:05:07+01:00
trial_0013,4,withdrawal_start,9436,6445.498000000,2026-08-31T11:05:15+01:00
trial_0013,4,withdrawal_end,9519,6446.328000000,2026-08-31T11:05:20+01:00
trial_0013,5,transfer_start,11691,6468.046000000,2026-08-31T11:05:40+01:00
trial_0013,5,transfer_end,11828,6469.416000000,2026-08-31T11:06:00+01:00
trial_0013,5,withdrawal_start,11991,6471.046000000,2026-08-31T11:06:06+01:00
trial_0013,5,withdrawal_end,12080,6471.936000000,2026-08-31T11:06:20+01:00
trial_0013,6,transfer_start,13993,6491.065000000,2026-08-31T11:07:05+01:00
trial_0013,6,transfer_end,14150,6492.635000000,2026-08-31T11:07:09+01:00
trial_0013,6,withdrawal_start,14261,6493.745000000,2026-08-31T11:07:18+01:00
trial_0013,6,withdrawal_end,14402,6495.155000000,2026-08-31T11:07:21+01:00
trial_0013,7,transfer_start,16143,6512.563000000,2026-08-31T11:07:43+01:00
trial_0013,7,transfer_end,16241,6513.543000000,2026-08-31T11:07:49+01:00
trial_0013,7,withdrawal_start,16335,6514.483000000,2026-08-31T11:07:56+01:00
trial_0013,7,withdrawal_end,16470,6515.833000000,2026-08-31T11:07:59+01:00
trial_0013,8,transfer_start,18828,6539.412000000,2026-08-31T11:08:19+01:00
trial_0013,8,transfer_end,19025,6541.382000000,2026-08-31T11:08:28+01:00
trial_0013,8,withdrawal_start,19109,6542.221000000,2026-08-31T11:08:34+01:00
trial_0013,8,withdrawal_end,19194,6543.071000000,2026-08-31T11:08:40+01:00
trial_0013,9,transfer_start,23425,6585.379000000,2026-08-31T11:09:09+01:00
trial_0013,9,transfer_end,23582,6586.949000000,2026-08-31T11:10:07+01:00
trial_0013,9,withdrawal_start,23692,6588.048000000,2026-08-31T11:10:12+01:00
trial_0013,9,withdrawal_end,23799,6589.118000000,2026-08-31T11:10:14+01:00
trial_0013,10,transfer_start,27014,6621.266000000,2026-08-31T11:10:49+01:00
trial_0013,10,transfer_end,27148,6622.606000000,2026-08-31T11:10:57+01:00
trial_0013,10,withdrawal_start,27357,6624.696000000,2026-08-31T11:11:05+01:00
trial_0013,10,withdrawal_end,27496,6626.086000000,2026-08-31T11:11:10+01:00
trial_0013,11,transfer_start,30483,6655.954000000,2026-08-31T11:11:32+01:00
trial_0013,11,transfer_end,30613,6657.254000000,2026-08-31T11:11:37+01:00
trial_0013,11,withdrawal_start,30714,6658.264000000,2026-08-31T11:11:44+01:00
trial_0013,11,withdrawal_end,30831,6659.434000000,2026-08-31T11:11:48+01:00
trial_0013,12,transfer_start,32947,6680.592000000,2026-08-31T11:12:17+01:00
trial_0013,12,transfer_end,33086,6681.982000000,2026-08-31T11:12:21+01:00
trial_0013,12,withdrawal_start,33285,6683.972000000,2026-08-31T11:12:26+01:00
trial_0013,12,withdrawal_end,33383,6684.952000000,2026-08-31T11:12:28+01:00
