take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0020,1,transfer_start,759,4412.461000000,2026-08-31T13:03:51+01:00
trial_0020,1,transfer_end,884,4413.711000000,2026-08-31T13:03:53+01:00
trial_0020,1,withdrawal_start,928,4414.151000000,2026-08-31T13:04:00+01:00
trial_0020,1,withdrawal_end,1023,4415.101000000,2026-08-31T13:04:02+01:00
trial_0020,2,transfer_start,1796,4422.831000000,2026-08-31T13:04:20+01:00
trial_0020,2,transfer_end,1960,4424.471000000,2026-08-31T13:04:24+01:00
trial_0020,2,withdrawal_start,1997,4424.841000000,2026-08-31T13:04:26+01:00
trial_0020,2,withdrawal_end,2109,4425.961000000,2026-08-31T13:04:30+01:00
trial_0020,3,transfer_start,3100,4435.870000000,2026-08-31T13:04:47+01:00
trial_0020,3,transfer_end,3219,4437.060000000,2026-08-31T13:04:50+01:00
trial_0020,3,withdrawal_start,3271,4437.580000000,2026-08-31T13:04:55+01:00
trial_0020,3,withdrawal_end,3346,4438.330000000,2026-08-31T13:05:04+01:00
trial_0020,4,transfer_start,6336,4468.228000000,2026-08-31T13:05:38+01:00
trial_0020,4,transfer_end,6486,4469.728000000,2026-08-31T13:05:41+01:00
trial_0020,4,withdrawal_start,6498,4469.848000000,2026-08-31T13:05:47+01:00
trial_0020,4,withdrawal_end,6594,4470.807000000,2026-08-31T13:05:49+01:00
trial_0020,5,transfer_start,9747,4502.335000000,2026-08-31T13:06:10+01:00
trial_0020,5,transfer_end,9894,4503.805000000,2026-08-31T13:06:18+01:00
trial_0020,5,withdrawal_start,9939,4504.255000000,2026-08-31T13:06:28+01:00
trial_0020,5,withdrawal_end,10042,4505.285000000,2026-08-31T13:06:30+01:00
trial_0020,6,transfer_start,11328,4518.144000000,2026-08-31T13:06:49+01:00
trial_0020,6,transfer_end,11440,4519.264000000,2026-08-31T13:06:51+01:00
trial_0020,6,withdrawal_start,11477,4519.634000000,2026-08-31T13:07:03+01:00
trial_0020,6,withdrawal_end,11564,4520.504000000,2026-08-31T13:07:05+01:00
