take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0015,1,transfer_start,1286,2774.859000000,2026-08-31T11:33:54+01:00
trial_0015,1,transfer_end,1430,2776.299000000,2026-08-31T11:34:08+01:00
trial_0015,1,withdrawal_start,1525,2777.249000000,2026-08-31T11:34:18+01:00
trial_0015,1,withdrawal_end,1673,2778.729000000,2026-08-31T11:34:21+01:00
trial_0015,2,transfer_start,2511,2787.108000000,2026-08-31T11:34:51+01:00
trial_0015,2,transfer_end,2618,2788.178000000,2026-08-31T11:34:56+01:00
trial_0015,2,withdrawal_start,2731,2789.308000000,2026-08-31T11:35:03+01:00
trial_0015,2,withdrawal_end,2859,2790.588000000,2026-08-31T11:35:05+01:00
trial_0015,3,transfer_start,3432,2796.317000000,2026-08-31T11:35:27+01:00
trial_0015,3,transfer_end,3585,2797.847000000,2026-08-31T11:35:37+01:00
trial_0015,3,withdrawal_start,3639,2798.387000000,2026-08-31T11:35:50+01:00
trial_0015,3,withdrawal_end,3791,2799.907000000,2026-08-31T11:35:52+01:00
trial_0015,4,transfer_start,4461,2806.606000000,2026-08-31T11:36:16+01:00
trial_0015,4,transfer_end,4605,2808.046000000,2026-08-31T11:36:20+01:00
trial_0015,4,withdrawal_start,4664,2808.636000000,2026-08-31T11:36:31+01:00
trial_0015,4,withdrawal_end,4799,2809.986000000,2026-08-31T11:36:34+01:00
trial_0015,5,transfer_start,5394,2815.936000000,2026-08-31T11:36:58+01:00
trial_0015,5,transfer_end,5515,2817.145000000,2026-08-31T11:37:07+01:00
trial_0015,5,withdrawal_start,5571,2817.705000000,2026-08-31T11:37:11+01:00
trial_0015,5,withdrawal_end,5733,2819.325000000,2026-08-31T11:37:14+01:00
trial_0015,6,transfer_start,6043,2822.425000000,2026-08-31T11:37:24+01:00
trial_0015,6,transfer_end,6164,2823.635000000,2026-08-31T11:37:28+01:00
trial_0015,6,withdrawal_start,6196,2823.955000000,2026-08-31T11:37:32+01:00
trial_0015,6,withdrawal_end,6341,2825.405000000,2026-08-31T11:37:35+01:00
trial_0015,7,transfer_start,6780,2829.794000000,2026-08-31T11:37:47+01:00
trial_0015,7,transfer_end,6906,2831.054000000,2026-08-31T11:37:53+01:00
trial_0015,7,withdrawal_start,6983,2831.824000000,2026-08-31T11:38:05+01:00
trial_0015,7,withdrawal_end,7126,2833.254000000,2026-08-31T11:38:07+01:00
trial_0015,8,transfer_start,8131,2843.303000000,2026-08-31T11:38:22+01:00
trial_0015,8,transfer_end,8299,2844.983000000,2026-08-31T11:38:27+01:00
trial_0015,8,withdrawal_start,8326,2845.253000000,2026-08-31T11:38:46+01:00
trial_0015,8,withdrawal_end,8552,2847.513000000,2026-08-31T11:38:50+01:00
trial_0015,9,transfer_start,9121,2853.202000000,2026-08-31T11:39:12+01:00
trial_0015,9,transfer_end,9278,2854.772000000,2026-08-31T11:39:31+01:00
trial_0015,9,withdrawal_start,9310,2855.092000000,2026-08-31T11:39:53+01:00
trial_0015,9,withdrawal_end,9492,2856.912000000,2026-08-31T11:39:56+01:00
trial_0015,10,transfer_start,10118,2863.172000000,2026-08-31T11:40:23+01:00
trial_0015,10,transfer_end,10267,2864.662000000,2026-08-31T11:40:28+01:00
trial_0015,10,withdrawal_start,10308,2865.071000000,2026-08-31T11:40:33+01:00
trial_0015,10,withdrawal_end,10438,2866.371000000,2026-08-31T11:40:35+01:00
trial_0015,11,transfer_start,10876,2870.751000000,2026-08-31T11:40:44+01:00
trial_0015,11,transfer_end,11001,2872.001000000,2026-08-31T11:40:49+01:00
trial_0015,11,withdrawal_start,11047,2872.461000000,2026-08-31T11:40:52+01:00
trial_0015,11,withdrawal_end,11170,2873.691000000,2026-08-31T11:40:54+01:00
trial_0015,12,transfer_start,11648,2878.470000000,2026-08-31T11:41:34+01:00
trial_0015,12,transfer_end,11805,2880.040000000,2026-08-31T11:41:41+01:00
trial_0015,12,withdrawal_start,11867,2880.660000000,2026-08-31T11:41:51+01:00
trial_0015,12,withdrawal_end,11995,2881.940000000,2026-08-31T11:41:54+01:00
trial_0015,13,transfer_start,12965,2891.639000000,2026-08-31T11:42:06+01:00
trial_0015,13,transfer_end,13110,2893.089000000,2026-08-31T11:42:14+01:00
trial_0015,13,withdrawal_start,13152,2893.509000000,2026-08-31T11:42:25+01:00
