take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0014,1,transfer_start,405,103842.806000000,2026-08-31T11:17:36+01:00
trial_0014,1,transfer_end,560,103844.356000000,2026-08-31T11:17:43+01:00
trial_0014,1,withdrawal_start,665,103845.406000000,2026-08-31T11:17:47+01:00
trial_0014,1,withdrawal_end,762,103846.376000000,2026-08-31T11:18:10+01:00
trial_0014,2,transfer_start,3751,103876.264000000,2026-08-31T11:18:29+01:00
trial_0014,2,transfer_end,3924,103877.994000000,2026-08-31T11:18:37+01:00
trial_0014,2,withdrawal_start,4076,103879.513000000,2026-08-31T11:18:51+01:00
trial_0014,2,withdrawal_end,4184,103880.593000000,2026-08-31T11:19:00+01:00
trial_0014,3,transfer_start,6350,103902.252000000,2026-08-31T11:19:20+01:00
trial_0014,3,transfer_end,6481,103903.562000000,2026-08-31T11:19:25+01:00
trial_0014,3,withdrawal_start,6622,103904.972000000,2026-08-31T11:19:30+01:00
trial_0014,3,withdrawal_end,6723,103905.982000000,2026-08-31T11:19:33+01:00
trial_0014,4,transfer_start,8548,103924.231000000,2026-08-31T11:19:56+01:00
trial_0014,4,transfer_end,8659,103925.341000000,2026-08-31T11:20:00+01:00
trial_0014,4,withdrawal_start,8800,103926.751000000,2026-08-31T11:20:13+01:00
trial_0014,4,withdrawal_end,8894,103927.690000000,2026-08-31T11:20:15+01:00
trial_0014,5,transfer_start,11548,103954.229000000,2026-08-31T11:20:39+01:00
trial_0014,5,transfer_end,11671,103955.459000000,2026-08-31T11:20:43+01:00
trial_0014,5,withdrawal_start,11808,103956.829000000,2026-08-31T11:20:50+01:00
trial_0014,5,withdrawal_end,11869,103957.439000000,2026-08-31T11:20:59+01:00
trial_0014,6,transfer_start,13847,103977.217000000,2026-08-31T11:21:18+01:00
trial_0014,6,transfer_end,13937,103978.117000000,2026-08-31T11:21:24+01:00
trial_0014,6,withdrawal_start,14029,103979.037000000,2026-08-31T11:21:31+01:00
